"","X.2","X.1","X","year","title","excerpt","candidate","relevant","name"
"1",22,617,617,2007,"Since so many of you have commented about the first-woman-candidate thing, let me suggest a subject that’s obviously trivial, but one I’ve always found interesting. When Hillary Clinton first ran for the U.S. Senate in New York, she wore the same thing virtually every day–a black pantsuit and a pink blouse. She was doing exactly what men do, which is to adopt a kind of uniform. The Black Pantsuit as Uniform","",1,1,"Clinton"
"2",35,924,924,2007,"It’s hard to feel sorry for Mitt Romney — and actually, I don’t. Still, he may be the first candidate to receive two “undorsements” that mention, as one of his flaws, that his hair is too good. Hair today, gone tomorrow","",1,1,"Romney"
"3",68,2414,2414,2007,"Most people have reacted enthusiastically to Al Gore’s new book, “The Assault on Reason.” He seems to have hit a nerve with his assessment of what ails our democracy – the unchecked power of special interests backed by big money, the pervasive influence of mindless and addictive television, and the relentless triumph of image and style over content, which makes us read more articles about John Edwards’ haircuts than about our failing education system. “Gore understands our problems,” as one reviewer put it, “as does no other politician of our time.” The Assault on ‘The Assault’","",1,1,"Edwards"
"4",79,2733,2733,2007,"Senator Clinton’s appearance — yes, her face — at the CNN debate landed her makeup artist new employment. The Way She Looked That Night","",1,1,"Clinton"
"5",86,3024,3024,2007,"Senator Hillary Clinton appeared just after noon today on the lofty steps of the state Capitol wearing a magenta jacket and surrounded by a phalanx of seven men in dark suits.  Lining Up for Clinton in Albany","",1,1,"Clinton"
"6",91,3138,3138,2007,"The Democratic primary now, evidently, is turning into a beauty pageant. Senator Barack Obama wins the swimsuit competition, but Senator Hillary Rodham Clinton takes “best dressed.” 2008 Like It’s Today: Project Runway","",1,1,"Clinton"
"7",91,3138,3138,2007,"The Democratic primary now, evidently, is turning into a beauty pageant. Senator Barack Obama wins the swimsuit competition, but Senator Hillary Rodham Clinton takes “best dressed.” 2008 Like It’s Today: Project Runway","",1,1,"Obama"
"8",123,4361,4361,2007,"When a 77-slide PowerPoint presentation by Mitt Romney’s staff outlining their concerns was reported today by The Boston Globe, bloggers did not seem surprised at the leak itself, but rather at what the leak revealed. Blogtalk: The Hair Memo","",1,1,"Romney"
"9",129,4505,4505,2007,"John Edwards announced on Thursday that he was reimbursing his campaign $800 to cover what his aides said was the cost of two haircuts. In the Beverly Hills Style: Candidate’s $400 Coiffure","",1,1,"Edwards"
"10",131,4526,4526,2007,"John Edwards told reporters in Iowa that he was “embarrassed” over the disclosure that he had paid $800 for two haircuts. About Those Haircuts","",1,1,"Edwards"
"11",132,4550,4550,2007,"While the attorney general gets much attention, Senator John McCain sings, John Edwards pays for combing his hair and takes on a netroots pioneer. Blogtalk: The Grilling of Gonzales","",1,1,"Edwards"
"12",133,4577,4577,2007,"All the haircuts in the world may not save John Edwards from a blowout. Running With Scissors","",1,1,"Edwards"
"13",134,4579,4579,2007,"In Iowa, the former senator from North Carolina riffs on his $400 salon haircuts. Bad Hair Days for Edwards","",1,1,"Edwards"
"14",136,4652,4652,2007,"Haircut’s never over: Maureen Dowd’s mockery of John Edwards as an aspiring “metrosexual in chief” for his $400 haircuts (a $400 haircutter’s house call, to be precise) has prompted a blogburst of reactions. The Washington Monthly’s Kevin Drum breaks down the ” four different schools of thought about this in the liberal blogosphere.”  Edwards Still Paying the Barber","",1,1,"Edwards"
"15",160,5853,5853,2007,"In a television interview, Barack Obama was asked why he wasn’t wearing an American flag on his suit. Obama’s Lapels","",1,1,"Obama"
"16",161,5854,5854,2007,"The blogosphere reacts to Barack Obama’s refusal to wear his patriotism on his sleeve, or least his lapel. Fashion Statement","",1,1,"Obama"
"17",164,5883,5883,2007,"Senator Barack Obama said that he stopped wearing an American flag pin on his lapel years ago, saying the symbol has become an empty substitute for true patriotism. The Politician and the Absent American Flag Pin","",1,1,"Obama"
"18",225,8278,8278,2007,"It’s usually women who complain about being judged on appearance instead of accomplishments, but pity poor Mitt Romney, a man who apparently suffers from looking too good. MSNBC’s Chris Matthews said Romney “has the perfect chin, the perfect hair.” The cover of Time magazine said: “Sure, he looks like a president” but . . . And on “60 Minutes,” Mike Wallace kidded him for being “matinee Mitt.”  Facial Discrimination","",1,1,"Romney"
"19",243,8898,8898,2007,"Hillary Clinton told a convention of beauticians Friday night that she’s learned there are three things you need in life: good friends, a good sense of humor and a good hair stylist. The Well-Coiffed Candidate","",1,1,"Clinton"
"20",250,9088,9088,2007,"The John Edwards campaign has devoted immense effort to beating back the image of their candidate as The Man With the Expensive Haircut. Change on the Cheap","",1,1,"Edwards"
"21",271,9573,9573,2008,"Intentionally or not, hairstyles help answer the voters’ throw-down question: “Who does she think she is?” The Upshot on Palin and Her Updo","",1,1,"Palin"
"22",273,9586,9586,2008,"Two picture captions on Tuesday with a Political Memo article, about the challenge that the presidential campaigns face in reaching voters through an increasingly fractured mass media, reversed the descriptions of the campaign rallies that were shown. The top photograph showed supporters of Gov. Sarah Palin waving tubes of lipstick in Golden, Colo., and the picture under it showed Senator Barack Obama’s supporters in Grand Junction, Colo., waving “Change We Need” signs. Corrections: For the Record","",1,1,"Palin"
"23",300,9785,9785,2008,"The many colors of Hillary... Hillary Clinton's Pantsuit of Many Colors","",1,1,"Clinton"
"24",301,9795,9795,2008,"Wearing a flag pin and a confident mien, Barack Obama looked like a presidential candidate accepting the nomination of the Democratic Party. On the Small Screen, Intimacy and Welcome Silence for Obama’s Big Rally","",1,1,"Obama"
"25",374,10378,10378,2008,"Also in Morning Buzz: the economic fallout from Wall Street’s meltdown, how Tina Fey became Sarah Palin with a pound of hair, and other headlines from the papers in the region. More Schools Get Top Grade, but Questions Remain","",1,1,"Palin"
"26",375,10384,10384,2008,"The Democratic nominee executed a quick wardrobe adjustment upon his arrival in Nevada. Obama, the Candidate for Change (of Clothes)","",1,1,"Obama"
"27",379,10399,10399,2008,"For Tina Fey to become Sarah Palin on “Saturday Night Live,” she needed a hairdresser, a team of wig makers, colorists and a pound of human hair. Getting In Palin’s Hair, or Close to It","",1,1,"Palin"
"28",382,10424,10424,2008,"Support for Sarah Palin among Republicans seems just as superficial as she is. When asked why they liked her, the answers described a talk-show host, not a vice president. Lipstick Bungle","",1,1,"Palin"
"29",414,10966,10966,2008,"Designers and illustrators weigh in on what Barack Obama should wear to show his patriotism and communicate his message. Stuck on Lapel Pins","",1,1,"Obama"
"30",415,10981,10981,2008,"A magazine cover depicts Barack Obama wearing a turban, while he offers a fist bump to his gun-toting wife. An American flag singes behind them in the fireplace. Political Satire, but Obama Isn’t Laughing","",1,1,"Obama"
"31",420,11023,11023,2008,"A magazine cover depicts Barack Obama wearing a turban, while he offers a fist bump to his gun-toting wife. An American flag singes behind them in the fireplace. Political Satire, but Obama Isn't Laughing","",1,1,"Obama"
"32",480,12015,12015,2008,"Gov. Sarah Palin’s traveling makeup artist was paid $68,400 for roughly two months of work, according to a new finance report. McCain Campaign Spent $110,000 on Palin’s Stylists","",1,1,"Palin"
"33",484,12070,12070,2008,"The campaign spent the money over the course of nine weeks on a fashion consultant, traveling makeup artist and traveling hair stylist for Gov. Sarah Palin. 3 Palin Stylists Cost Campaign More Than $165,000","",1,1,"Palin"
"34",529,12537,12537,2008,"Unless you expect heads of state to wear a tie at the beach, there's nothing particularly shocking about the sight of President-elect Obama in bathing trunks. The Shock of It All","",1,1,"Obama"
"35",530,12544,12544,2008,"Unless you expect heads of state to wear a tie at the beach, there’s nothing particularly shocking about the sight of President-elect Obama in bathing trunks. He looks fit, and at least he did not opt for itty-bitty European briefs. The pictures of Obama on vacation in Hawaii with his family prompted the Huffington Post to provide a nostalgic look at past presidents in the swim. I nearly averted my eyes.  The Shock of It All","",1,1,"Obama"
"36",582,13330,13330,2008,"We’re having all kinds of bailouts these days, why not a $150,000 fashion bailout? Sarah Palin’s “campaign accessories” were purchased on the grounds that the Alaska governor needed clothes for TV appearances and different climates. And the spending spree at Saks and Neiman’s was defended by Republicans who cried sexism, saying that if a dude bought some suits at Brooks nobody would raise an eyebrow.  Helpless Dame","",1,1,"Palin"
"37",585,13352,13352,2008,"New federal campaign filings show payments made in early October and in September for Ms. Palin’s traveling stylist and hairdresser. Top Salary in McCain Camp? Palin’s Makeup Stylist","",1,1,"Palin"
"38",588,13370,13370,2008,"An exasperated Gov. Sarah Palin veered off script at a rally in Florida on Sunday to confront, as she called it, “the whole clothes thing.” Emphasizing Frugal Tastes, Palin Addresses Clothing Issue","",1,1,"Palin"
"39",591,13382,13382,2008,"Thanks to everyone for the great to-and-fro about Sarah Palin’s wardrobe—Kim, notdaisyo, E. Frantz, Marko, Judegabbard, A Neto, Jing, Alex A and some newcomers to the blog. I think we’ve about covered that waterfront. I understand, and share, the reluctance to scrutinize the attire of female political figures and potential first wives if it means that it produces a double standard or just plain silliness. It seems almost old-fashioned, like poking into the bread basket of sex affairs conducted by male chiefs of state. Oops! But the history of dress (Aileen Ribeiro’s “Dress and Morality” being one of my favorite books on the topic) tells us that we have always been interested in what our leaders wear, and always will be to a critical fault. The Collections: More Talking Points","",1,1,"Palin"
"40",602,13419,13419,2008,"Should taxpayers really be paying for Sarah Palin's red leather jackets and stiletto boots?. Sarah Palin’s Campaign Couture","",1,1,"Palin"
"41",604,13433,13433,2008,"According to a report, the Republican National Committee paid more than $150,000 for clothing, makeup and accessories in September that apparently went to Gov. Sarah Palin and her family. If You Don’t Look Good, We Don’t Look Good","",1,1,"Palin"
"42",605,13448,13448,2008,"Gov. Sarah Palin’s makeup artist was paid $22,800 for the first two weeks of October, according to a new filing. Top Salary in McCain Camp? Palin’s Makeup Stylist","",1,1,"Palin"
